Site;Potfolio;Status;Estado;Cidade;Latitude_Decimal;Longitude_Decimal;Primeiro;Origem;Dispo;Classe;Data;Pred;Total;Estrutura;Extensao;Tipo;Reforco;Cliente_1;Cliente_2;Cliente_3;Cliente_4;Cliente_5;Estacao
1;C;Active;AC;Rio Branco;-50,025643;-62,055526;H;A;Y;C;30/09/2015;0;60;60;N;Self Support;N;;;;;;682913979
2;A;Active;AC;Rio Branco;-55,05483;-68,24228;E;A;Y;C;19/11/2014;;;80;N;Self Support;N;;;;;;682913995
3;C;Active;AC;Rio Branco;-55,050565;-68,244628;H;A;Y;C;29/04/2015;;;70;N;Self Support;N;;;;;;683022725
4;C;Active;AC;Rio Branco;-3,822025;-62,348249;I;B;Y;C;08/09/2015;0;40;40;N;Self Support;N;;;;;;683324705
5;C;Active;AC;Rio Branco;-3,840028;-62,352256;H;A;Y;C;29/04/2015;;;50;N;Self Support;N;;;;;;684498227
6;D;Active;AC;Rio Branco;-2,625221;-22,62043;I;A;Y;C;19/11/2014;;;79.02;N;Self Support;N;;;;;;684498235
7;C;Active;AC;Rio Branco;-2,642422;-22,663223;H;A;Y;C;29/04/2015;0;50;50;N;Self Support;N;;;;;;684498243
8;D;Active;AC;Rio Branco;-2,588566;-22,255047;G;A;Y;C;31/08/2012;;;50;N;Self Support;N;;X;;;;684498251
9;C;Active;AC;Rio Branco;-2,605406;-22,684806;H;A;Y;C;29/04/2015;0;60;60;N;Self Support;N;;X;;;;684570947
10;C;Active;AC;Rio Branco;-55,024288;-68,242205;G;B;Y;C;24/11/2007;0;70;70;N;Self Support;N;;;;;;684577283
11;C;Active;AC;Rio Branco;-50,30505;-68,564544;G;B;Y;C;10/05/2016;0;80;80;;Self Support;;;;;;;684779285
12;D;Active;AL;Maceió;-50,423253;-62,586552;G;A;Y;C;30/06/2012;0;70.8;70.8;N;Self Support;Y;;;;;;684779498
13;D;Active;AL;Maceió;-3,226286;-62,202633;I;A;Y;C;06/09/2012;;60;60;N;Self Support;N;;;;;;684779978
14;D;Active;AL;Maceió;-3,680422;-62,242555;A;A;Y;C;15/12/2017;0;10;10;;Self Support;;;;;;;684849470
15;C;Active;AL;Maceió;-3,320438;-62,858255;C;B;Y;C;31/12/2001;0;50;50;N;Self Support;N;;;;X;;1000172586
16;D;Active;AL;Maceió;-3,334526;-62,826045;I;A;Y;C;19/11/2014;;;50.37;N;Self Support;N;;;;;;1000172705
17;C;Active;AL;Maceió;-3,342442;-62,822422;H;A;Y;C;29/04/2015;;;50;N;Self Support;N;;;;;;1000179572
18;D;Active;AL;Maceió;-50,045355;-62,283645;G;A;Y;C;31/08/2012;;;60;N;Self Support;Y;;X;;;;1000180074
19;C;Active;AL;Maceió;-3,360355;-62,852545;C;B;Y;C;31/12/2001;0;56.7;56.7;N;Self Support;N;;;;;;1000183154
20;A;Active;AL;Maceió;-3,345555;-62,824342;E;A;Y;C;19/11/2014;;;40;N;Self Support;Y;;;;;;1000183979
21;C;Active;AL;Maceió;-3,86554;-62,352324;H;A;Y;C;29/04/2015;;;30;N;Monopole;N;;;;;;1000185149
22;C;Active;AL;Maceió;-3,362443;-62,234856;G;B;Y;C;27/03/2009;0;50;50;N;Self Support;N;;;;;;1004686819
23;C;Active;AL;Maceió;-3,338542;-62,802354;H;A;Y;C;29/04/2015;;;70;N;Self Support;N;;;;;;682914002
24;C;Active;AL;Maceió;-3,324302;-62,845623;G;B;Y;C;03/03/2009;0;50;50;N;Self Support;N;;;;;;689270232
25;C;Active;AL;Maceió;-3,368457;-62,868634;B;B;Y;C;17/11/2005;0;52;52;N;Self Support;N;;X;;;;1058
26;C;Active;AL;Maceió;-3,352443;-62,825455;B;B;Y;B;28/01/2011;2;14;12;N;Mastil;N;;X;;;;2119
27;C;Active;AL;Maceió;-50,042444;-62,238855;H;A;Y;C;29/04/2015;;;50;N;Self Support;N;;;;;;137936
28;C;Active;AL;Maceió;-3,380502;-62,842424;H;A;Y;C;29/04/2015;;;60;N;Self Support;N;;;;;;167878
29;C;Active;AL;Maceió;-3,358585;-62,842356;H;A;Y;C;30/09/2015;0;40;40;N;Self Support;N;;;;;;280496
30;C;Active;AL;Maceió;-3,352222;-62,238656;H;A;Y;C;30/09/2015;;;50;N;Self Support;N;;X;;;;280500
31;C;Active;AL;Maceió;-3,383605;-62,826435;H;A;Y;C;30/09/2015;0;50;50;N;Self Support;N;;X;;;;281328
32;C;Active;AL;Maceió;-3,345222;-62,885556;H;A;Y;C;30/09/2015;;;50;N;Self Support;N;;X;;;;281441
33;C;In Development;AL;Maceió;-3,085667;-68,622222;G;B;Y;C;;;;50;;Self Support;;;;;;;281727
34;C;Active;AL;Maceió;-3,068229;-68,662424;H;A;Y;C;29/04/2015;;;60;N;Self Support;N;;;;;;281867
35;D;Active;AL;Maceió;-3,064285;-68,658252;G;A;Y;C;30/03/2012;;;50;N;Self Support;N;;;;;;281930
36;C;Active;AL;Maceió;-50,054664;-62,282385;H;A;Y;C;29/04/2015;;;50;N;Self Support;N;;;;;;282081
37;C;Active;AL;Maceió;-50,542626;-62,246044;G;B;Y;C;08/09/2015;;40;40;N;Self Support;N;;;;;;282154
38;C;Active;AL;Maceió;-50,542434;-62,245235;H;A;Y;C;29/04/2015;;;60;N;Self Support;N;;;;;;3597148
39;C;Active;AL;Maceió;-50,568553;-62,225266;G;B;Y;C;30/06/2018;0;40;40;;Self Support;;;;;;;3662713
40;A;Active;AL;Maceió;-8,56084;-20,26634;E;A;N;C;19/11/2014;0;59;59;N;Self Support;N;;;;;;6988261
41;C;Active;AL;Maceió;-8,560222;-20,2625;H;A;Y;C;30/09/2015;;;60;N;Self Support;N;;;;;;6988270
42;C;Active;AL;Maceió;-3,222681;-42,343652;B;B;Y;C;16/10/2008;0;62;62;N;Self Support;N;;X;;;;6988474
43;A;Active;AM;Manaus;-3,243025;-42,344444;A;A;Y;C;14/07/2017;0;18;18;;Self Support;;;;;;;323385923
44;C;Active;AM;Manaus;-3,2625;-42,346489;H;A;Y;C;30/09/2015;;;40;N;Self Support;N;;;;;;323765017
45;C;Active;AM;Manaus;-3,244829;-46,62558;G;B;Y;C;06/11/2008;0;60;60;N;Self Support;N;;;;;;323765246
46;C;Active;AM;Manaus;-3,283048;-46,656235;B;B;Y;C;30/11/2012;;;40;N;Self Support;N;;X;;;;325128944
47;A;Active;AM;Manaus;-3,255263;-46,643242;H;A;Y;C;27/06/2014;;;40;N;Self Support;N;;;;;;325129169
48;C;Active;AM;Manaus;-3,245252;-46,665858;H;A;Y;C;29/04/2015;;;42;N;Self Support;N;;;;;;356028518
49;D;Active;AM;Manaus;-3,243427;-46,664823;G;A;Y;C;30/03/2012;;;40;N;Self Support;N;;;;;;356028577
50;C;Active;AM;Manaus;-3,28033;-46,64558;G;B;Y;C;03/11/2008;0;40;40;N;Self Support;N;;X;;;;356033430
51;A;Active;AM;Manaus;-3,284605;-46,654242;H;A;Y;C;27/06/2014;;;40;N;Self Support;N;;;;;;356033473
52;C;Active;AM;Manaus;-3,258252;-46,644458;H;A;Y;C;29/04/2015;;;60;N;Self Support;N;;;;;;422364665
53;C;Active;AM;Manaus;-3,244;-46,64858;G;B;Y;C;27/11/2008;0;60;60;N;Self Support;N;;;;;;422364711
54;A;Active;AM;Manaus;-3,220543;-46,620845;H;A;Y;C;27/06/2014;;;40;N;Self Support;N;;X;;;;422386146
55;C;Active;AM;Manaus;-3,228082;-46,624442;H;A;Y;C;29/04/2015;;;60;N;Self Support;N;;X;;;;422386219
56;C;Active;AM;Manaus;-3,225523;-46,652332;G;B;Y;C;06/11/2008;0;60;60;N;Self Support;N;;;;;;441808620
57;C;Active;AM;Manaus;-3,242344;-46,654458;H;A;Y;C;29/04/2015;;;60;N;Self Support;N;;;;;;441927254
58;C;Active;AM;Manaus;-3,246546;-46,665635;H;B;Y;C;03/07/2014;;40;40;N;Self Support;N;;;;;;441927297
59;C;Active;AM;Manaus;-3,250444;-46,625364;H;A;Y;C;29/04/2015;;;50;N;Self Support;N;;;;;;443378541
60;C;Active;AM;Manaus;-3,262505;-46,665364;H;A;Y;C;29/04/2015;;;40;N;Self Support;N;;;;;;443379360
61;C;Active;AM;Manaus;-3,244483;-46,656547;H;A;Y;C;29/04/2015;;;40;N;Self Support;N;;;;;;443383421
62;C;Active;AM;Manaus;-3,244252;-46,643536;H;A;Y;C;29/04/2015;;;60;N;Self Support;N;;X;;;;443383430
63;C;Active;AM;Manaus;-3,224444;-46,685662;H;A;Y;B;29/04/2015;6;7;1;N;Special Rooftop;N;;;;;;511787367
64;C;Active;AM;Manaus;-3,265824;-46,654464;H;A;Y;C;29/04/2015;;;40;N;Self Support;N;;;;;;511787421
65;C;Active;AM;Manaus;-3,254656;-46,652222;H;A;Y;C;30/09/2015;;;30;N;Self Support;N;;;;;;511787600
66;C;Active;AM;Manaus;-3,268656;-46,6425;H;A;Y;C;30/09/2015;;;40;N;Self Support;N;;X;;;;511787642
67;C;Active;AM;Manaus;-3,242028;-46,655543;H;A;Y;C;16/12/2015;;;40;;Self Support;;;;;;;534230920
68;C;Active;AM;Manaus;-3,552345;-46,052242;G;B;Y;C;30/06/2009;0;60;60;N;Self Support;N;;;;;;534762344
69;A;Active;AM;Manaus;-3,438366;-46,323567;A;A;Y;C;18/06/2018;0;24;24;;Monopole;;;;;;;534790046
70;C;Active;AM;Manaus;-3,446342;-45,524265;H;A;Y;C;30/09/2015;;;61;N;Self Support;N;;;;;;534790151
71;D;Active;AM;Manaus;-3,824434;-45,880544;G;A;Y;C;30/03/2012;;;60;N;Self Support;N;;X;;;;534790437
72;C;Active;AM;Manaus;-3,844435;-45,300853;G;B;Y;C;12/11/2008;0;41;41;N;Self Support;N;;;;;;534791646
73;C;Active;AM;Manaus;-3,84254;-45,30208;H;A;Y;C;29/04/2015;;;60;N;Self Support;N;;X;;;;534905560
74;C;Active;AM;Manaus;-3,644425;-46,258455;H;A;Y;C;29/04/2015;;;40;N;Self Support;N;;;;;;631434976
75;C;Active;AM;Manaus;-3,645483;-46,20325;H;A;Y;C;16/12/2015;;;70;;Self Support;;;;;;;641183712
76;C;Active;AM;Manaus;-3,435826;-46,556682;H;A;Y;C;29/04/2015;;;60;N;Self Support;N;;;;;;684176629
77;C;Active;AM;Manaus;-3,433385;-46,554245;H;A;Y;C;29/04/2015;;;40;N;Self Support;N;;;;;;684176645
78;A;Active;AM;Manaus;-3,232489;-46,405483;A;A;Y;C;19/11/2014;;;30;;Self Support;;;;;;;685000745
79;A;Active;AM;Manaus;-3,833486;-46,225654;H;A;Y;C;27/06/2014;0;40;40;N;Self Support;N;;;;;;685000753
80;C;Active;AM;Manaus;-3,358254;-46,234454;H;A;Y;C;29/04/2015;;;30;N;Self Support;N;;;;;;685000796
81;D;Active;AM;Manaus;-3,555385;-42,53832;G;A;Y;C;31/08/2012;;;60;N;Self Support;N;;;;;;685000826
82;C;Active;AM;Manaus;-3,45454;-46,02525;H;A;N;C;29/04/2015;0;50;50;N;Self Support;N;;X;;;;687193508
83;C;Active;AM;Manaus;-3,254584;-46,4045;G;B;Y;C;01/12/2016;0;60;60;;Self Support;;;;;;;687667453
84;D;Active;AM;Manaus;-3,642634;-46,526555;A;A;Y;C;15/12/2017;0;60;60;;Self Support;;;;;;;687667569
85;A;Active;AM;Manaus;-8,303567;-45,653444;A;A;Y;C;19/11/2014;;;30;;Self Support;;;;;;;688036090
86;C;Active;AM;Manaus;-8,354536;-45,253244;H;A;Y;C;29/04/2015;;;70;N;Self Support;N;;;;;;688307191
87;A;Active;AM;Manaus;-8,340552;-45,254444;A;A;Y;C;19/11/2014;;;17;;Self Support;;;;;;;688571719
88;C;Active;AM;Manaus;-3,642656;-45,233464;H;B;Y;C;20/06/2011;;;40;N;Self Support;N;;;;;;689933711
89;A;Active;AM;Manaus;-50,248667;-46,244543;A;A;Y;C;19/11/2014;;;30;;Self Support;;;;;;;689935307
90;D;Active;AM;Manaus;-50,543623;-46,540852;G;A;Y;C;30/06/2012;;;50;N;Self Support;Y;;;;;;689938012
91;D;Active;AM;Manaus;-50,520235;-46,225031;G;A;Y;C;30/06/2012;;;60;N;Self Support;Y;;;;;;690076770
92;C;Active;AM;Manaus;-3,480209;-48,002852;G;B;Y;C;12/06/2009;0;60;60;N;Self Support;N;;;;;;691261334
93;C;Active;AM;Manaus;-3,48682;-42,388646;H;B;Y;C;15/07/2011;;;40;N;Self Support;N;;;;;;691397287
94;D;Active;AM;Manaus;-3,430445;-42,038085;I;A;Y;C;19/11/2014;0;79.9;79.9;N;Self Support;N;;;;;;691669767
95;D;Active;AM;Manaus;-3,48345;-46,26545;G;A;Y;C;31/08/2012;;;50;N;Self Support;N;;;;;;691669910
96;D;Active;AM;Manaus;-3,835421;-46,622433;G;A;Y;C;30/06/2012;;;50;N;Self Support;Y;;;;;;691717192
97;C;Active;AM;Manaus;-50,234282;-46,404884;H;B;Y;C;13/07/2011;;;40;N;Self Support;N;;;;;;691986800
98;C;Active;AM;Manaus;-3,226489;-45,225;H;A;Y;C;30/09/2015;;;50;N;Self Support;N;;;;;;692257187
99;A;Active;AM;Manaus;-3,223363;-46,845889;A;A;Y;C;14/07/2017;0;30;30;;Self Support;;;;;;;692688986
100;C;Active;AM;Manaus;-3,884431;-46,824421;H;A;Y;C;29/04/2015;;;40;N;Self Support;N;;;;;;692969586
101;C;Active;AM;Manaus;-8,324834;-45,34235;B;B;Y;C;27/11/2008;0;60.6;60.6;N;Self Support;N;;X;;;;692989579
102;C;Active;AM;Manaus;-3,645263;-46,680402;H;B;Y;C;23/10/2013;;40;40;N;Self Support;N;;;;;;693007648
103;A;Active;AM;Manaus;-50,068406;-46,542806;A;A;Y;C;14/07/2017;0;30;30;;Self Support;;;;;;;693039590
104;D;Active;AM;Manaus;-50,5254;-46,6543;G;A;Y;C;04/12/2012;;;40;N;Self Support;N;;;;;;695323407
105;A;Active;AM;Manaus;-3,242286;-42,224883;A;A;Y;C;14/07/2017;0;17;17;;Self Support;;;;;;;695325760
106;D;Active;AM;Manaus;-3,22425;-42,2485;G;A;Y;C;31/08/2012;;;40;N;Self Support;Y;;;;;;695326546
107;A;Active;AM;Manaus;-50,056302;-46,055;A;A;Y;C;18/06/2018;0;30;30;;Self Support;;;;;;;695333208
108;C;Active;AM;Manaus;-50,056643;-46,055643;H;A;Y;C;16/12/2015;;;60;;Self Support;;;;;;;695457071
109;C;Active;AM;Manaus;-3,544264;-45,263241;G;B;Y;C;06/05/2009;0;60;60;N;Self Support;N;;;;;;695541072
110;B;Active;AM;Manaus;-3,544538;-45,263605;E;A;Y;C;01/03/2011;0;70;70;N;Self Support;N;;;;;;695542842
111;C;Active;AM;Manaus;-3,54446;-45,26324;H;A;Y;C;29/04/2015;;;72;N;Self Support;N;;;;;;695543644
112;C;Active;AM;Manaus;-3,05865;-45,24222;H;A;Y;C;29/04/2015;0;72;72;N;Self Support;N;;;;;;695543946
113;A;Active;AM;Manaus;-3,846444;-46,405584;A;A;Y;C;14/07/2017;0;30;30;;Self Support;;;;;;;695544438
114;C;Active;AM;Manaus;-3,308436;-46,426368;H;A;Y;C;29/04/2015;;;54;N;Self Support;N;;;;;;696591790
115;A;Active;AM;Manaus;-3,846844;-46,445548;A;A;Y;C;01/09/2017;0;30;30;;Self Support;;;;;;;696592070
116;A;Active;AM;Manaus;-3,266267;-46,554058;A;A;Y;C;14/07/2017;0;18;18;;Self Support;;;;;;;697480739
117;D;Active;AM;Manaus;-3,246546;-46,502524;G;A;Y;C;30/03/2012;0;40;40;N;Self Support;N;;;;;;698141598
118;C;Active;AM;Manaus;-3,628431;-45,245525;B;B;Y;C;20/08/2008;0;40;40;N;Self Support;N;;X;;;;699257441
119;E;Active;AM;Manaus;-3,580402;-45,802536;A;A;Y;C;19/11/2014;0;42;42;N;Self Support;N;;X;;;;699262321
120;C;Active;AM;Manaus;-3,584487;-45,222856;B;B;Y;C;13/12/2012;0;40;40;N;Self Support;N;;X;;;;699270413
121;B;Active;AM;Manaus;-3,664554;-45,636346;E;A;Y;B;01/03/2011;50;55;5;N;Special Rooftop;N;;;;;;699270987
122;C;Active;AM;Manaus;-3,534263;-45,245523;H;A;Y;C;29/04/2015;;;40;N;Monopole;N;;;X;;;699283299
123;E;Active;AM;Manaus;-3,54462;-45,22842;D;A;Y;C;29/11/2013;;;50;N;Self Support;N;;;;;;1000315557
124;C;Active;AM;Manaus;-3,658584;-45,2028;B;B;Y;B;27/08/2008;32;38;6;N;Mastil;N;;X;;;;1001388744
125;D;Active;AM;Manaus;-3,64884;-45,204826;I;A;Y;B;19/11/2014;27;31.5;4.5;N;Mastil;N;;;;;;1001603955
126;C;Active;AM;Manaus;-3,543423;-45,234586;B;B;Y;C;19/12/2012;;;40;N;Self Support;N;;X;;;;1001718868
127;B;Active;AM;Manaus;-3,66456;-45,24025;G;A;N;B;01/03/2011;25;28;3;N;Special Rooftop;N;;X;;;;1002858566
128;C;Active;AM;Manaus;-3,622506;-45,25224;H;A;Y;C;29/04/2015;;;48;N;Monopole;N;;;;;;1003609683
129;C;Active;AM;Manaus;-3,645557;-45,250525;B;B;Y;C;20/08/2008;0;40;40;N;Self Support;N;;X;;;;1003609861
130;D;Active;AM;Manaus;-3,653802;-45,203655;I;A;Y;B;19/11/2014;40;44;4;N;Mastil;N;;;;;;1003609950
131;C;Active;AM;Manaus;-3,644431;-45,242559;H;A;Y;B;29/04/2015;;;4;N;Mastil;N;;;;;;1003610010
132;D;Active;AM;Manaus;-3,653823;-45,204307;I;A;Y;B;19/11/2014;30;34;4;N;Mastil;N;;;;;;1003674205
133;C;Active;AM;Manaus;-3,565445;-45,288456;H;A;Y;C;29/04/2015;;;42;N;Self Support;N;;;;;;1003675856
134;C;Active;AM;Manaus;-3,644242;-45,633824;G;B;Y;B;06/12/2008;30;35;5;N;Mastil;N;;;;;;1003676569
135;D;Active;AM;Manaus;-3,664865;-45,636222;I;A;Y;B;19/11/2014;50;56;6;N;Mastil;N;;;;;;1003759383
136;C;Active;AM;Manaus;-3,604004;-45,684224;H;A;Y;B;29/04/2015;18;24;6;N;Mastil;N;;X;;;;1003760357
137;C;Active;AM;Manaus;-3,622235;-45,248236;G;B;Y;C;08/12/2008;0;40;40;N;Self Support;N;;;;;;1003760705
138;D;Active;AM;Manaus;-3,622452;-45,256655;I;A;Y;B;19/11/2014;28;32;4;N;Mastil;N;;;;;;1003760845
139;C;Active;AM;Manaus;-3,643824;-45,258025;H;A;Y;C;29/04/2015;;;50;N;Monopole;N;;X;;;;1003761329
140;D;Active;AM;Manaus;-3,653804;-45,244623;I;A;Y;B;19/11/2014;43;48;5;N;Mastil;N;;;;;;1003878765
141;C;Active;AM;Manaus;-3,564545;-45,260864;H;A;Y;C;29/04/2015;;;60;N;Self Support;N;;X;;;;1003878811
142;C;Active;AM;Manaus;-3,654425;-45,204241;G;B;Y;C;27/10/2008;0;40;40;N;Self Support;N;;;;;;1003881235
143;D;Active;AM;Manaus;-3,663465;-45,244888;I;A;Y;B;19/11/2014;38;43;5;N;Mastil;N;;;;;;1003895929
144;C;Active;AM;Manaus;-3,654253;-45,205052;H;A;Y;C;29/04/2015;;;42;N;Self Support;N;;;;;;1003896500
145;C;Active;AM;Manaus;-3,662458;-45,254403;G;B;Y;B;16/12/2008;31;36;5;N;Mastil;N;;;;;;1003896674
146;D;Active;AM;Manaus;-3,604004;-45,684224;I;A;Y;B;19/11/2014;18;21;3;N;Mastil;N;;;;;;1003901678
147;C;Active;AM;Manaus;-3,652506;-45,243585;H;A;Y;C;29/04/2015;;;40;N;Monopole;N;;;;;;1003951721
148;C;Active;AM;Manaus;-3,644556;-45,638632;G;B;Y;B;09/12/2008;34;40;6;N;Mastil;N;;X;X;;;1004436502
149;D;Active;AM;Manaus;-3,663243;-45,228555;I;A;Y;B;19/11/2014;40;45;5;N;Mastil;N;;X;;;;1001752179
150;C;Active;AM;Manaus;-3,620556;-45,634584;H;A;Y;C;29/04/2015;;;60;N;Self Support;N;;X;;;;1001603220
151;C;Active;AM;Manaus;-3,644431;-45,258025;G;B;Y;C;24/11/2008;0;40;40;N;Self Support;N;;;;;;687667585
152;D;Active;AM;Manaus;-3,660845;-45,200333;I;A;Y;B;19/11/2014;0;4;4;N;Mastil;N;;;;;;889717
153;C;Active;AM;Manaus;-3,604605;-45,252236;H;A;Y;C;29/04/2015;;;60;N;Self Support;N;;X;;;;695311085
154;C;Active;AM;Manaus;-3,585825;-45,243584;H;B;Y;C;30/07/2011;;;40;N;Self Support;N;;;;;;695543903
155;D;Active;AM;Manaus;-3,662805;-45,242264;I;A;Y;B;19/11/2014;;40;4.5;N;Mastil;N;;;;;;534791638
156;C;Active;AM;Manaus;-3,65843;-45,246523;H;A;Y;C;29/04/2015;;;42;N;Monopole;N;;;;;;534228070
157;D;Active;AM;Manaus;-3,652505;-45,200236;I;A;Y;B;19/11/2014;0;3;3;N;Mastil;N;;;;;;1005445068
158;C;Active;AM;Manaus;-3,654522;-45,240866;H;A;Y;C;29/04/2015;0;50;50;N;Monopole;N;;X;;;;889636
159;D;Active;AM;Manaus;-3,644565;-45,206543;I;A;Y;B;19/11/2014;29;34;5;N;Mastil;N;;;;;;441808603
160;C;Active;AM;Manaus;-3,662656;-45,258025;H;A;Y;C;29/04/2015;;;45;N;Self Support;N;;;;;;1005452501
161;C;Active;AM;Manaus;-3,525306;-45,284444;E;B;Y;C;22/10/2012;0;40;40;N;Self Support;N;;;;;;443349665
162;D;Active;AM;Manaus;-3,62228;-45,25883;I;A;Y;C;19/11/2014;;;40;N;Self Support;N;;;;;;323385869
163;C;Active;AM;Manaus;-3,653558;-45,204404;H;A;Y;C;29/04/2015;0;50.8;50.8;N;Self Support;N;;;X;;;4124944
164;D;Active;AM;Manaus;-3,58483;-45,26483;I;A;Y;C;19/11/2014;;;40;N;Self Support;N;;;;;;695543580
165;C;Active;AM;Manaus;-3,644268;-45,200053;H;A;Y;C;29/04/2015;;;48;N;Monopole;N;;;;;;688307027
166;D;Active;AM;Manaus;-3,664253;-45,246363;I;A;Y;C;19/11/2014;;;40;N;Self Support;N;;;;;;281964
167;C;Active;AM;Manaus;-3,654824;-45,252552;H;A;Y;C;29/04/2015;;;42;N;Self Support;N;;;;;;697372812
168;D;Active;AM;Manaus;-3,653352;-45,222422;I;A;Y;C;19/11/2014;0;40;40;N;Self Support;N;;;;;;695541242
169;C;Active;AM;Manaus;-3,65843;-45,203241;H;A;Y;C;29/04/2015;;;60;N;Self Support;N;;X;;;;889733
170;D;Active;AM;Manaus;-3,658268;-45,256524;I;A;Y;C;19/11/2014;;;50;N;Self Support;N;;;;;;1005537914
171;C;Active;AM;Manaus;-3,652505;-45,25324;H;A;Y;C;29/04/2015;;;50;N;Self Support;N;;;;;;1005537930
172;D;Active;AM;Manaus;-3,636268;-45,288025;I;A;Y;C;19/11/2014;0;50.2;50.2;N;Self Support;N;;;;;;1005676159
173;C;Active;AM;Manaus;-3,66443;-45,258025;H;A;Y;C;29/04/2015;;;30;N;Self Support;N;;X;;;;1005676183
174;D;Active;AM;Manaus;-3,662656;-45,256524;I;A;Y;C;19/11/2014;;;40;N;Self Support;N;;;;;;889725
175;C;Active;AM;Manaus;-3,662655;-45,632235;H;A;Y;B;29/04/2015;39;45;6;N;Mastil;N;;;;;;441808573
176;D;Active;AP;Macapá;-3,644424;-45,244585;I;A;Y;C;19/11/2014;;;40;N;Self Support;N;;;;;;689935048
177;C;Active;AP;Macapá;-3,643605;-45,200855;H;A;Y;B;29/04/2015;27;;4;N;Mastil;N;;;;;;1001604021
178;D;Active;AP;Macapá;-3,660444;-45,255856;I;A;Y;C;19/11/2014;;;40;N;Self Support;N;;;;;;422386294
179;C;Active;AP;Macapá;-3,664605;-45,246523;H;A;Y;B;29/04/2015;45;49;4;N;Mastil;N;;;;;;1003953430
180;D;Active;AP;Macapá;-3,62584;-45,25228;I;A;Y;C;19/11/2014;;;40;N;Self Support;N;;;;;;1005694769
181;C;Active;AP;Macapá;-3,664268;-45,244623;H;A;Y;B;29/04/2015;;;4;N;Mastil;N;;;;;;690937903
182;D;Active;AP;Macapá;-3,653424;-45,63224;I;A;Y;C;19/11/2014;;;41;N;Self Support;N;;;;;;695544667
183;C;Active;AP;Macapá;-3,588484;-45,25224;H;A;Y;C;29/04/2015;;;40;N;Self Support;N;;;;;;699556414
184;D;Active;AP;Macapá;-3,644823;-45,226363;I;A;Y;C;19/11/2014;;;42;N;Self Support;N;;;;;;113700
185;C;Active;AP;Macapá;-3,654454;-45,220434;H;A;Y;B;29/04/2015;;27.2;4;N;Mastil;N;;;;;;687667534
186;D;Active;AP;Macapá;-3,64483;-45,24228;I;A;Y;C;19/11/2014;;;40;N;Self Support;N;;;;;;323385940
187;C;Active;AP;Macapá;-3,658425;-45,242246;H;A;Y;B;29/04/2015;;45.2;5;N;Mastil;N;;;;;;659110695
188;D;Active;AP;Macapá;-3,65228;-45,24228;I;A;Y;C;19/11/2014;;;40;N;Self Support;N;;;;;;659110849
189;C;Active;AP;Macapá;-3,604483;-45,224455;H;A;Y;C;29/04/2015;;;45;N;Monopole;N;;X;;;;659110954
190;D;Active;AP;Macapá;-3,545384;-45,255363;I;A;Y;C;19/11/2014;0;40;40;N;Monopole;N;;;;;;682870560
191;C;Active;AP;Macapá;-3,652505;-45,638306;H;A;Y;C;29/04/2015;;;30;N;Monopole;N;;;;;;682871656
192;D;Active;AP;Macapá;-3,523425;-45,24224;I;A;Y;C;19/11/2014;;;40;N;Self Support;N;;;;;;682871699
193;C;Active;AP;Macapá;-3,5536;-45,240525;H;A;Y;C;29/04/2015;;;40;N;Self Support;N;;X;;;;682871800
194;D;Active;AP;Macapá;-3,624252;-45,254584;I;A;Y;C;19/11/2014;;;40;N;Self Support;N;;;;;;682871842
195;C;Active;AP;Macapá;-3,625546;-45,252445;H;A;Y;C;30/09/2015;0;51.7;51.7;N;Self Support;N;;;;;;682872067
196;D;Active;AP;Macapá;-3,644634;-45,25425;A;A;Y;C;15/12/2017;0;40;40;;Self Support;;;;;;;682872121
197;C;Active;AP;Macapá;-3,650425;-45,244666;H;A;Y;C;30/09/2015;0;20;20;N;Self Support;N;;X;;;;682872253
198;C;Active;AP;Macapá;-3,686667;-45,225556;H;A;Y;C;30/09/2015;;;30;N;Self Support;N;;;;;;682872261
199;C;Active;AP;Macapá;-3,660556;-45,250844;H;A;Y;C;30/09/2015;;;50;N;Self Support;N;;;;;;682872270
200;C;Active;AP;Macapá;-3,640406;-45,202222;H;A;Y;C;09/06/2016;;;30;;Self Support;;;;;;;682872288
201;C;Active;AP;Macapá;-3,644444;-45,244883;H;A;Y;C;09/06/2016;;;50;;Self Support;;;X;;;;682872296
202;C;In Development;AP;Macapá;-3,022258;-45,22525;G;B;Y;C;;;;70;;Self Support;;;;;;;682872733
203;C;Active;AP;Macapá;-8,356425;-45,528236;G;B;Y;C;12/11/2008;0;62;62;N;Self Support;N;;;;;;682872768
204;C;In Development;AP;Macapá;-8,385222;-45,536322;G;B;Y;C;;;;70;;Self Support;;;X;;;;682872776
205;D;Active;AP;Macapá;-3,268252;-45,846685;G;A;Y;C;30/06/2012;;;40;N;Self Support;N;;;;;;682872814
206;C;Active;AP;Macapá;-3,256332;-45,858085;G;B;Y;C;03/11/2008;0;40;40;N;Self Support;N;;;;;;682872822
207;C;Active;AP;Macapá;-3,654262;-46,024026;H;A;Y;C;29/04/2015;;;60;N;Self Support;N;;;;;;682872903
208;C;Active;AP;Macapá;-3,25806;-45,83356;G;B;Y;C;22/12/2008;0;40;40;N;Monopole;N;;;;;;682872920
209;C;Active;AP;Macapá;-3,624605;-45,85224;H;A;Y;B;29/04/2015;0;12;12;N;Specials;N;;;;;;682912360
